,date_code,region,Respiratory_Virus,Number_Positive
0,2010-01,Bay Area,Influenza_A,66
1,2010-01,Bay Area,Influenza_B,0
2,2010-01,Bay Area,RSV,643
3,2010-01,Central,Influenza_A,24
4,2010-01,Central,Influenza_B,1
5,2010-01,Central,RSV,288
6,2010-01,Northern,Influenza_A,14
7,2010-01,Northern,Influenza_B,0
8,2010-01,Northern,RSV,89
9,2010-01,Southern,Influenza_A,34
10,2010-01,Southern,Influenza_B,0
11,2010-01,Southern,RSV,154
12,2010-02,Bay Area,Influenza_A,16
13,2010-02,Bay Area,Influenza_B,0
14,2010-02,Bay Area,RSV,1033
15,2010-02,Central,Influenza_A,14
16,2010-02,Central,Influenza_B,2
17,2010-02,Central,RSV,667
18,2010-02,Northern,Influenza_A,5
19,2010-02,Northern,Influenza_B,0
20,2010-02,Northern,RSV,316
21,2010-02,Southern,Influenza_A,7
22,2010-02,Southern,Influenza_B,2
23,2010-02,Southern,RSV,337
24,2010-03,Bay Area,Influenza_A,7
25,2010-03,Bay Area,Influenza_B,0
26,2010-03,Bay Area,RSV,453
27,2010-03,Central,Influenza_A,6
28,2010-03,Central,Influenza_B,0
29,2010-03,Central,RSV,450
30,2010-03,Northern,Influenza_A,0
31,2010-03,Northern,Influenza_B,0
32,2010-03,Northern,RSV,154
33,2010-03,Southern,Influenza_A,5
34,2010-03,Southern,Influenza_B,2
35,2010-03,Southern,RSV,203
36,2010-04,Bay Area,Influenza_A,9
37,2010-04,Bay Area,Influenza_B,1
38,2010-04,Bay Area,RSV,77
39,2010-04,Central,Influenza_A,0
40,2010-04,Central,Influenza_B,1
41,2010-04,Central,RSV,38
42,2010-04,Northern,Influenza_A,2
43,2010-04,Northern,Influenza_B,0
44,2010-04,Northern,RSV,24
45,2010-04,Southern,Influenza_A,0
46,2010-04,Southern,Influenza_B,0
47,2010-04,Southern,RSV,16
48,2010-05,Bay Area,Influenza_A,1
49,2010-05,Bay Area,Influenza_B,0
50,2010-05,Bay Area,RSV,13
51,2010-05,Central,Influenza_A,0
52,2010-05,Central,Influenza_B,2
53,2010-05,Central,RSV,10
54,2010-05,Northern,Influenza_A,1
55,2010-05,Northern,Influenza_B,2
56,2010-05,Northern,RSV,7
57,2010-05,Southern,Influenza_A,0
58,2010-05,Southern,Influenza_B,0
59,2010-05,Southern,RSV,3
60,2010-06,Bay Area,Influenza_A,0
61,2010-06,Bay Area,Influenza_B,0
62,2010-06,Bay Area,RSV,3
63,2010-06,Central,Influenza_A,0
64,2010-06,Central,Influenza_B,1
65,2010-06,Central,RSV,2
66,2010-06,Northern,Influenza_A,1
67,2010-06,Northern,Influenza_B,0
68,2010-06,Northern,RSV,3
69,2010-06,Southern,Influenza_A,1
70,2010-06,Southern,Influenza_B,18
71,2010-06,Southern,RSV,3
72,2010-07,Bay Area,Influenza_A,2
73,2010-07,Bay Area,Influenza_B,0
74,2010-07,Bay Area,RSV,1
75,2010-07,Central,Influenza_A,0
76,2010-07,Central,Influenza_B,0
77,2010-07,Central,RSV,1
78,2010-07,Northern,Influenza_A,0
79,2010-07,Northern,Influenza_B,0
80,2010-07,Northern,RSV,2
81,2010-07,Southern,Influenza_A,1
82,2010-07,Southern,Influenza_B,3
83,2010-07,Southern,RSV,2
84,2010-08,Bay Area,Influenza_A,2
85,2010-08,Bay Area,Influenza_B,1
86,2010-08,Bay Area,RSV,2
87,2010-08,Central,Influenza_A,0
88,2010-08,Central,Influenza_B,0
89,2010-08,Central,RSV,1
90,2010-08,Northern,Influenza_A,1
91,2010-08,Northern,Influenza_B,0
92,2010-08,Northern,RSV,2
93,2010-08,Southern,Influenza_A,0
94,2010-08,Southern,Influenza_B,0
95,2010-08,Southern,RSV,0
96,2010-09,Bay Area,Influenza_A,0
97,2010-09,Bay Area,Influenza_B,0
98,2010-09,Bay Area,RSV,2
99,2010-09,Central,Influenza_A,0
100,2010-09,Central,Influenza_B,0
101,2010-09,Central,RSV,1
102,2010-09,Northern,Influenza_A,5
103,2010-09,Northern,Influenza_B,2
104,2010-09,Northern,RSV,4
105,2010-09,Southern,Influenza_A,0
106,2010-09,Southern,Influenza_B,2
107,2010-09,Southern,RSV,3
108,2010-10,Bay Area,Influenza_A,8
109,2010-10,Bay Area,Influenza_B,2
110,2010-10,Bay Area,RSV,24
111,2010-10,Central,Influenza_A,0
112,2010-10,Central,Influenza_B,0
113,2010-10,Central,RSV,12
114,2010-10,Northern,Influenza_A,4
115,2010-10,Northern,Influenza_B,0
116,2010-10,Northern,RSV,4
117,2010-10,Southern,Influenza_A,0
118,2010-10,Southern,Influenza_B,4
119,2010-10,Southern,RSV,7
120,2010-11,Bay Area,Influenza_A,27
121,2010-11,Bay Area,Influenza_B,9
122,2010-11,Bay Area,RSV,222
123,2010-11,Central,Influenza_A,1
124,2010-11,Central,Influenza_B,3
125,2010-11,Central,RSV,72
126,2010-11,Northern,Influenza_A,1
127,2010-11,Northern,Influenza_B,0
128,2010-11,Northern,RSV,16
129,2010-11,Southern,Influenza_A,19
130,2010-11,Southern,Influenza_B,12
131,2010-11,Southern,RSV,49
132,2010-12,Bay Area,Influenza_A,101
133,2010-12,Bay Area,Influenza_B,38
134,2010-12,Bay Area,RSV,923
135,2010-12,Central,Influenza_A,16
136,2010-12,Central,Influenza_B,18
137,2010-12,Central,RSV,404
138,2010-12,Northern,Influenza_A,13
139,2010-12,Northern,Influenza_B,3
140,2010-12,Northern,RSV,115
141,2010-12,Southern,Influenza_A,82
142,2010-12,Southern,Influenza_B,83
143,2010-12,Southern,RSV,245
144,2011-01,Bay Area,Influenza_A,728
145,2011-01,Bay Area,Influenza_B,273
146,2011-01,Bay Area,RSV,1734
147,2011-01,Central,Influenza_A,122
148,2011-01,Central,Influenza_B,78
149,2011-01,Central,RSV,1119
150,2011-01,Northern,Influenza_A,93
151,2011-01,Northern,Influenza_B,37
152,2011-01,Northern,RSV,453
153,2011-01,Southern,Influenza_A,317
154,2011-01,Southern,Influenza_B,217
155,2011-01,Southern,RSV,919
156,2011-02,Bay Area,Influenza_A,1295
157,2011-02,Bay Area,Influenza_B,706
158,2011-02,Bay Area,RSV,787
159,2011-02,Central,Influenza_A,459
160,2011-02,Central,Influenza_B,268
161,2011-02,Central,RSV,620
162,2011-02,Northern,Influenza_A,269
163,2011-02,Northern,Influenza_B,70
164,2011-02,Northern,RSV,352
165,2011-02,Southern,Influenza_A,426
166,2011-02,Southern,Influenza_B,282
167,2011-02,Southern,RSV,536
168,2011-03,Bay Area,Influenza_A,602
169,2011-03,Bay Area,Influenza_B,390
170,2011-03,Bay Area,RSV,239
171,2011-03,Central,Influenza_A,211
172,2011-03,Central,Influenza_B,160
173,2011-03,Central,RSV,187
174,2011-03,Northern,Influenza_A,140
175,2011-03,Northern,Influenza_B,71
176,2011-03,Northern,RSV,122
177,2011-03,Southern,Influenza_A,153
178,2011-03,Southern,Influenza_B,50
179,2011-03,Southern,RSV,188
180,2011-04,Bay Area,Influenza_A,57
181,2011-04,Bay Area,Influenza_B,47
182,2011-04,Bay Area,RSV,54
183,2011-04,Central,Influenza_A,16
184,2011-04,Central,Influenza_B,14
185,2011-04,Central,RSV,35
186,2011-04,Northern,Influenza_A,5
187,2011-04,Northern,Influenza_B,19
188,2011-04,Northern,RSV,26
189,2011-04,Southern,Influenza_A,16
190,2011-04,Southern,Influenza_B,9
191,2011-04,Southern,RSV,49
192,2011-05,Bay Area,Influenza_A,2
193,2011-05,Bay Area,Influenza_B,5
194,2011-05,Bay Area,RSV,8
195,2011-05,Central,Influenza_A,0
196,2011-05,Central,Influenza_B,0
197,2011-05,Central,RSV,3
198,2011-05,Northern,Influenza_A,0
199,2011-05,Northern,Influenza_B,0
200,2011-05,Northern,RSV,0
201,2011-05,Southern,Influenza_A,2
202,2011-05,Southern,Influenza_B,4
203,2011-05,Southern,RSV,12
204,2011-06,Bay Area,Influenza_A,0
205,2011-06,Bay Area,Influenza_B,0
206,2011-06,Bay Area,RSV,3
207,2011-06,Central,Influenza_A,0
208,2011-06,Central,Influenza_B,0
209,2011-06,Central,RSV,3
210,2011-06,Northern,Influenza_A,0
211,2011-06,Northern,Influenza_B,0
212,2011-06,Northern,RSV,0
213,2011-06,Southern,Influenza_A,0
214,2011-06,Southern,Influenza_B,0
215,2011-06,Southern,RSV,0
216,2011-07,Bay Area,Influenza_A,0
217,2011-07,Bay Area,Influenza_B,0
218,2011-07,Bay Area,RSV,2
219,2011-07,Central,Influenza_A,0
220,2011-07,Central,Influenza_B,0
221,2011-07,Central,RSV,0
222,2011-07,Northern,Influenza_A,0
223,2011-07,Northern,Influenza_B,0
224,2011-07,Northern,RSV,0
225,2011-07,Southern,Influenza_A,0
226,2011-07,Southern,Influenza_B,0
227,2011-07,Southern,RSV,2
228,2011-08,Bay Area,Influenza_A,2
229,2011-08,Bay Area,Influenza_B,0
230,2011-08,Bay Area,RSV,0
231,2011-08,Central,Influenza_A,3
232,2011-08,Central,Influenza_B,0
233,2011-08,Central,RSV,1
234,2011-08,Northern,Influenza_A,0
235,2011-08,Northern,Influenza_B,0
236,2011-08,Northern,RSV,0
237,2011-08,Southern,Influenza_A,1
238,2011-08,Southern,Influenza_B,0
239,2011-08,Southern,RSV,2
240,2011-09,Bay Area,Influenza_A,0
241,2011-09,Bay Area,Influenza_B,1
242,2011-09,Bay Area,RSV,4
243,2011-09,Central,Influenza_A,0
244,2011-09,Central,Influenza_B,0
245,2011-09,Central,RSV,0
246,2011-09,Northern,Influenza_A,0
247,2011-09,Northern,Influenza_B,0
248,2011-09,Northern,RSV,1
249,2011-09,Southern,Influenza_A,0
250,2011-09,Southern,Influenza_B,0
251,2011-09,Southern,RSV,2
252,2011-10,Bay Area,Influenza_A,4
253,2011-10,Bay Area,Influenza_B,0
254,2011-10,Bay Area,RSV,27
255,2011-10,Central,Influenza_A,0
256,2011-10,Central,Influenza_B,0
257,2011-10,Central,RSV,0
258,2011-10,Northern,Influenza_A,1
259,2011-10,Northern,Influenza_B,0
260,2011-10,Northern,RSV,1
261,2011-10,Southern,Influenza_A,6
262,2011-10,Southern,Influenza_B,2
263,2011-10,Southern,RSV,11
264,2011-11,Bay Area,Influenza_A,9
265,2011-11,Bay Area,Influenza_B,2
266,2011-11,Bay Area,RSV,56
267,2011-11,Central,Influenza_A,5
268,2011-11,Central,Influenza_B,0
269,2011-11,Central,RSV,10
270,2011-11,Northern,Influenza_A,2
271,2011-11,Northern,Influenza_B,2
272,2011-11,Northern,RSV,5
273,2011-11,Southern,Influenza_A,4
274,2011-11,Southern,Influenza_B,6
275,2011-11,Southern,RSV,26
276,2011-12,Bay Area,Influenza_A,38
277,2011-12,Bay Area,Influenza_B,14
278,2011-12,Bay Area,RSV,162
279,2011-12,Central,Influenza_A,7
280,2011-12,Central,Influenza_B,1
281,2011-12,Central,RSV,38
282,2011-12,Northern,Influenza_A,10
283,2011-12,Northern,Influenza_B,2
284,2011-12,Northern,RSV,26
285,2011-12,Southern,Influenza_A,17
286,2011-12,Southern,Influenza_B,2
287,2011-12,Southern,RSV,78
288,2012-01,Bay Area,Influenza_A,270
289,2012-01,Bay Area,Influenza_B,54
290,2012-01,Bay Area,RSV,712
291,2012-01,Central,Influenza_A,59
292,2012-01,Central,Influenza_B,6
293,2012-01,Central,RSV,204
294,2012-01,Northern,Influenza_A,62
295,2012-01,Northern,Influenza_B,5
296,2012-01,Northern,RSV,110
297,2012-01,Southern,Influenza_A,108
298,2012-01,Southern,Influenza_B,10
299,2012-01,Southern,RSV,210
300,2012-02,Bay Area,Influenza_A,415
301,2012-02,Bay Area,Influenza_B,82
302,2012-02,Bay Area,RSV,789
303,2012-02,Central,Influenza_A,231
304,2012-02,Central,Influenza_B,13
305,2012-02,Central,RSV,313
306,2012-02,Northern,Influenza_A,160
307,2012-02,Northern,Influenza_B,16
308,2012-02,Northern,RSV,175
309,2012-02,Southern,Influenza_A,285
310,2012-02,Southern,Influenza_B,12
311,2012-02,Southern,RSV,366
312,2012-03,Bay Area,Influenza_A,758
313,2012-03,Bay Area,Influenza_B,269
314,2012-03,Bay Area,RSV,474
315,2012-03,Central,Influenza_A,386
316,2012-03,Central,Influenza_B,45
317,2012-03,Central,RSV,350
318,2012-03,Northern,Influenza_A,155
319,2012-03,Northern,Influenza_B,58
320,2012-03,Northern,RSV,137
321,2012-03,Southern,Influenza_A,386
322,2012-03,Southern,Influenza_B,20
323,2012-03,Southern,RSV,287
324,2012-04,Bay Area,Influenza_A,367
325,2012-04,Bay Area,Influenza_B,333
326,2012-04,Bay Area,RSV,220
327,2012-04,Central,Influenza_A,162
328,2012-04,Central,Influenza_B,56
329,2012-04,Central,RSV,250
330,2012-04,Northern,Influenza_A,89
331,2012-04,Northern,Influenza_B,78
332,2012-04,Northern,RSV,93
333,2012-04,Southern,Influenza_A,126
334,2012-04,Southern,Influenza_B,21
335,2012-04,Southern,RSV,170
336,2012-05,Bay Area,Influenza_A,9
337,2012-05,Bay Area,Influenza_B,23
338,2012-05,Bay Area,RSV,11
339,2012-05,Central,Influenza_A,12
340,2012-05,Central,Influenza_B,10
341,2012-05,Central,RSV,51
342,2012-05,Northern,Influenza_A,1
343,2012-05,Northern,Influenza_B,5
344,2012-05,Northern,RSV,2
345,2012-05,Southern,Influenza_A,14
346,2012-05,Southern,Influenza_B,2
347,2012-05,Southern,RSV,26
348,2012-06,Bay Area,Influenza_A,3
349,2012-06,Bay Area,Influenza_B,2
350,2012-06,Bay Area,RSV,1
351,2012-06,Central,Influenza_A,0
352,2012-06,Central,Influenza_B,5
353,2012-06,Central,RSV,19
354,2012-06,Northern,Influenza_A,0
355,2012-06,Northern,Influenza_B,0
356,2012-06,Northern,RSV,0
357,2012-06,Southern,Influenza_A,0
358,2012-06,Southern,Influenza_B,2
359,2012-06,Southern,RSV,2
360,2012-07,Bay Area,Influenza_A,1
361,2012-07,Bay Area,Influenza_B,0
362,2012-07,Bay Area,RSV,1
363,2012-07,Central,Influenza_A,0
364,2012-07,Central,Influenza_B,2
365,2012-07,Central,RSV,6
366,2012-07,Northern,Influenza_A,0
367,2012-07,Northern,Influenza_B,0
368,2012-07,Northern,RSV,0
369,2012-07,Southern,Influenza_A,0
370,2012-07,Southern,Influenza_B,0
371,2012-07,Southern,RSV,0
372,2012-08,Bay Area,Influenza_A,2
373,2012-08,Bay Area,Influenza_B,0
374,2012-08,Bay Area,RSV,1
375,2012-08,Central,Influenza_A,1
376,2012-08,Central,Influenza_B,0
377,2012-08,Central,RSV,1
378,2012-08,Northern,Influenza_A,0
379,2012-08,Northern,Influenza_B,0
380,2012-08,Northern,RSV,0
381,2012-08,Southern,Influenza_A,2
382,2012-08,Southern,Influenza_B,0
383,2012-08,Southern,RSV,1
384,2012-09,Bay Area,Influenza_A,0
385,2012-09,Bay Area,Influenza_B,0
386,2012-09,Bay Area,RSV,3
387,2012-09,Central,Influenza_A,1
