Respiratory_Virus,Bay Area,Central,Northern,Southern
Adenovirus,2034,1305,496,5892
Coronavirus_229E,0,97,0,44
Coronavirus_HKU1,52,188,0,481
Coronavirus_NL63,24,198,0,72
Coronavirus_OC43,22,293,0,181
Coronavirus_UnknownType,0,548,0,6760
Enterovirus_Rhinovirus,10108,8889,1759,44141
HMPV,2095,1445,337,8912
Influenza_A,38136,14398,10115,38383
Influenza_B,13836,6012,3405,15203
Parainfluenza_1,822,600,169,2735
Parainfluenza_2,354,193,67,1409
Parainfluenza_3,1491,913,269,4614
Parainfluenza_4,117,264,30,1357
Parainfluenza_UnknownType,0,64,0,170
RSV,30619,16141,8237,30741
