,season,date_code,weekending,region,Respiratory_Virus,year,month,Number_Positive
0,2009-2010,2010-01-04,2010-01-03,Bay Area,Influenza_AH1,2010,1,0
1,2009-2010,2010-01-04,2010-01-03,Bay Area,Influenza_AH1pdm09,2010,1,0
2,2009-2010,2010-01-04,2010-01-03,Bay Area,Influenza_AH3,2010,1,0
3,2009-2010,2010-01-04,2010-01-03,Bay Area,Influenza_ANotSubtyped,2010,1,8
4,2009-2010,2010-01-04,2010-01-03,Bay Area,Influenza_B,2010,1,0
5,2009-2010,2010-01-04,2010-01-03,Central,Influenza_AH1,2010,1,0
6,2009-2010,2010-01-04,2010-01-03,Central,Influenza_AH1pdm09,2010,1,0
7,2009-2010,2010-01-04,2010-01-03,Central,Influenza_AH3,2010,1,0
8,2009-2010,2010-01-04,2010-01-03,Central,Influenza_ANotSubtyped,2010,1,5
9,2009-2010,2010-01-04,2010-01-03,Central,Influenza_B,2010,1,0
10,2009-2010,2010-01-04,2010-01-03,Northern,Influenza_AH1,2010,1,0
11,2009-2010,2010-01-04,2010-01-03,Northern,Influenza_AH1pdm09,2010,1,0
12,2009-2010,2010-01-04,2010-01-03,Northern,Influenza_AH3,2010,1,0
13,2009-2010,2010-01-04,2010-01-03,Northern,Influenza_ANotSubtyped,2010,1,1
14,2009-2010,2010-01-04,2010-01-03,Northern,Influenza_B,2010,1,0
15,2009-2010,2010-01-04,2010-01-03,Southern,Influenza_AH1,2010,1,0
16,2009-2010,2010-01-04,2010-01-03,Southern,Influenza_AH1pdm09,2010,1,0
17,2009-2010,2010-01-04,2010-01-03,Southern,Influenza_AH3,2010,1,0
18,2009-2010,2010-01-04,2010-01-03,Southern,Influenza_ANotSubtyped,2010,1,21
19,2009-2010,2010-01-04,2010-01-03,Southern,Influenza_B,2010,1,0
20,2009-2010,2010-01-11,2010-01-10,Bay Area,Influenza_AH1,2010,1,0
21,2009-2010,2010-01-11,2010-01-10,Bay Area,Influenza_AH1pdm09,2010,1,0
22,2009-2010,2010-01-11,2010-01-10,Bay Area,Influenza_AH3,2010,1,0
23,2009-2010,2010-01-11,2010-01-10,Bay Area,Influenza_ANotSubtyped,2010,1,16
24,2009-2010,2010-01-11,2010-01-10,Bay Area,Influenza_B,2010,1,0
25,2009-2010,2010-01-11,2010-01-10,Central,Influenza_AH1,2010,1,0
26,2009-2010,2010-01-11,2010-01-10,Central,Influenza_AH1pdm09,2010,1,0
27,2009-2010,2010-01-11,2010-01-10,Central,Influenza_AH3,2010,1,0
28,2009-2010,2010-01-11,2010-01-10,Central,Influenza_ANotSubtyped,2010,1,8
29,2009-2010,2010-01-11,2010-01-10,Central,Influenza_B,2010,1,0
30,2009-2010,2010-01-11,2010-01-10,Northern,Influenza_AH1,2010,1,0
31,2009-2010,2010-01-11,2010-01-10,Northern,Influenza_AH1pdm09,2010,1,0
32,2009-2010,2010-01-11,2010-01-10,Northern,Influenza_AH3,2010,1,0
33,2009-2010,2010-01-11,2010-01-10,Northern,Influenza_ANotSubtyped,2010,1,8
34,2009-2010,2010-01-11,2010-01-10,Northern,Influenza_B,2010,1,0
35,2009-2010,2010-01-11,2010-01-10,Southern,Influenza_AH1,2010,1,0
36,2009-2010,2010-01-11,2010-01-10,Southern,Influenza_AH1pdm09,2010,1,0
37,2009-2010,2010-01-11,2010-01-10,Southern,Influenza_AH3,2010,1,0
38,2009-2010,2010-01-11,2010-01-10,Southern,Influenza_ANotSubtyped,2010,1,23
39,2009-2010,2010-01-11,2010-01-10,Southern,Influenza_B,2010,1,0
40,2009-2010,2010-01-18,2010-01-17,Bay Area,Influenza_AH1,2010,1,0
41,2009-2010,2010-01-18,2010-01-17,Bay Area,Influenza_AH1pdm09,2010,1,0
42,2009-2010,2010-01-18,2010-01-17,Bay Area,Influenza_AH3,2010,1,0
43,2009-2010,2010-01-18,2010-01-17,Bay Area,Influenza_ANotSubtyped,2010,1,3
44,2009-2010,2010-01-18,2010-01-17,Bay Area,Influenza_B,2010,1,0
45,2009-2010,2010-01-18,2010-01-17,Central,Influenza_AH1,2010,1,0
46,2009-2010,2010-01-18,2010-01-17,Central,Influenza_AH1pdm09,2010,1,0
47,2009-2010,2010-01-18,2010-01-17,Central,Influenza_AH3,2010,1,0
48,2009-2010,2010-01-18,2010-01-17,Central,Influenza_ANotSubtyped,2010,1,3
49,2009-2010,2010-01-18,2010-01-17,Central,Influenza_B,2010,1,0
50,2009-2010,2010-01-18,2010-01-17,Northern,Influenza_AH1,2010,1,0
51,2009-2010,2010-01-18,2010-01-17,Northern,Influenza_AH1pdm09,2010,1,0
52,2009-2010,2010-01-18,2010-01-17,Northern,Influenza_AH3,2010,1,0
53,2009-2010,2010-01-18,2010-01-17,Northern,Influenza_ANotSubtyped,2010,1,1
54,2009-2010,2010-01-18,2010-01-17,Northern,Influenza_B,2010,1,0
55,2009-2010,2010-01-18,2010-01-17,Southern,Influenza_AH1,2010,1,0
56,2009-2010,2010-01-18,2010-01-17,Southern,Influenza_AH1pdm09,2010,1,0
57,2009-2010,2010-01-18,2010-01-17,Southern,Influenza_AH3,2010,1,0
58,2009-2010,2010-01-18,2010-01-17,Southern,Influenza_ANotSubtyped,2010,1,11
59,2009-2010,2010-01-18,2010-01-17,Southern,Influenza_B,2010,1,0
60,2009-2010,2010-01-25,2010-01-24,Bay Area,Influenza_AH1,2010,1,0
61,2009-2010,2010-01-25,2010-01-24,Bay Area,Influenza_AH1pdm09,2010,1,0
62,2009-2010,2010-01-25,2010-01-24,Bay Area,Influenza_AH3,2010,1,0
63,2009-2010,2010-01-25,2010-01-24,Bay Area,Influenza_ANotSubtyped,2010,1,4
64,2009-2010,2010-01-25,2010-01-24,Bay Area,Influenza_B,2010,1,0
65,2009-2010,2010-01-25,2010-01-24,Central,Influenza_AH1,2010,1,0
66,2009-2010,2010-01-25,2010-01-24,Central,Influenza_AH1pdm09,2010,1,0
67,2009-2010,2010-01-25,2010-01-24,Central,Influenza_AH3,2010,1,0
68,2009-2010,2010-01-25,2010-01-24,Central,Influenza_ANotSubtyped,2010,1,15
69,2009-2010,2010-01-25,2010-01-24,Central,Influenza_B,2010,1,0
70,2009-2010,2010-01-25,2010-01-24,Northern,Influenza_AH1,2010,1,0
71,2009-2010,2010-01-25,2010-01-24,Northern,Influenza_AH1pdm09,2010,1,0
72,2009-2010,2010-01-25,2010-01-24,Northern,Influenza_AH3,2010,1,0
73,2009-2010,2010-01-25,2010-01-24,Northern,Influenza_ANotSubtyped,2010,1,1
74,2009-2010,2010-01-25,2010-01-24,Northern,Influenza_B,2010,1,0
75,2009-2010,2010-01-25,2010-01-24,Southern,Influenza_AH1,2010,1,0
76,2009-2010,2010-01-25,2010-01-24,Southern,Influenza_AH1pdm09,2010,1,0
77,2009-2010,2010-01-25,2010-01-24,Southern,Influenza_AH3,2010,1,0
78,2009-2010,2010-01-25,2010-01-24,Southern,Influenza_ANotSubtyped,2010,1,9
79,2009-2010,2010-01-25,2010-01-24,Southern,Influenza_B,2010,1,1
80,2009-2010,2010-02-01,2010-01-31,Bay Area,Influenza_AH1,2010,2,0
81,2009-2010,2010-02-01,2010-01-31,Bay Area,Influenza_AH1pdm09,2010,2,0
82,2009-2010,2010-02-01,2010-01-31,Bay Area,Influenza_AH3,2010,2,0
83,2009-2010,2010-02-01,2010-01-31,Bay Area,Influenza_ANotSubtyped,2010,2,2
84,2009-2010,2010-02-01,2010-01-31,Bay Area,Influenza_B,2010,2,0
85,2009-2010,2010-02-01,2010-01-31,Central,Influenza_AH1,2010,2,0
86,2009-2010,2010-02-01,2010-01-31,Central,Influenza_AH1pdm09,2010,2,0
87,2009-2010,2010-02-01,2010-01-31,Central,Influenza_AH3,2010,2,0
