,season,date_code,weekending,region,Respiratory_Virus,year,month,Number_Positive
0,2009-2010,2010-01-04,2010-01-09,Bay Area,Influenza_A,2010,1,30
1,2009-2010,2010-01-04,2010-01-09,Bay Area,Influenza_B,2010,1,0
2,2009-2010,2010-01-04,2010-01-09,Bay Area,RSV,2010,1,97
3,2009-2010,2010-01-04,2010-01-09,Central,Influenza_A,2010,1,8
4,2009-2010,2010-01-04,2010-01-09,Central,Influenza_B,2010,1,0
5,2009-2010,2010-01-04,2010-01-09,Central,RSV,2010,1,48
6,2009-2010,2010-01-04,2010-01-09,Northern,Influenza_A,2010,1,4
7,2009-2010,2010-01-04,2010-01-09,Northern,Influenza_B,2010,1,0
8,2009-2010,2010-01-04,2010-01-09,Northern,RSV,2010,1,13
9,2009-2010,2010-01-04,2010-01-09,Southern,Influenza_A,2010,1,8
10,2009-2010,2010-01-04,2010-01-09,Southern,Influenza_B,2010,1,0
11,2009-2010,2010-01-04,2010-01-09,Southern,RSV,2010,1,15
12,2009-2010,2010-01-11,2010-01-16,Bay Area,Influenza_A,2010,1,16
13,2009-2010,2010-01-11,2010-01-16,Bay Area,Influenza_B,2010,1,0
14,2009-2010,2010-01-11,2010-01-16,Bay Area,RSV,2010,1,131
15,2009-2010,2010-01-11,2010-01-16,Central,Influenza_A,2010,1,10
16,2009-2010,2010-01-11,2010-01-16,Central,Influenza_B,2010,1,0
17,2009-2010,2010-01-11,2010-01-16,Central,RSV,2010,1,52
18,2009-2010,2010-01-11,2010-01-16,Northern,Influenza_A,2010,1,3
19,2009-2010,2010-01-11,2010-01-16,Northern,Influenza_B,2010,1,0
20,2009-2010,2010-01-11,2010-01-16,Northern,RSV,2010,1,20
21,2009-2010,2010-01-11,2010-01-16,Southern,Influenza_A,2010,1,12
22,2009-2010,2010-01-11,2010-01-16,Southern,Influenza_B,2010,1,0
23,2009-2010,2010-01-11,2010-01-16,Southern,RSV,2010,1,34
24,2009-2010,2010-01-18,2010-01-23,Bay Area,Influenza_A,2010,1,15
25,2009-2010,2010-01-18,2010-01-23,Bay Area,Influenza_B,2010,1,0
26,2009-2010,2010-01-18,2010-01-23,Bay Area,RSV,2010,1,169
27,2009-2010,2010-01-18,2010-01-23,Central,Influenza_A,2010,1,3
28,2009-2010,2010-01-18,2010-01-23,Central,Influenza_B,2010,1,0
29,2009-2010,2010-01-18,2010-01-23,Central,RSV,2010,1,81
30,2009-2010,2010-01-18,2010-01-23,Northern,Influenza_A,2010,1,3
31,2009-2010,2010-01-18,2010-01-23,Northern,Influenza_B,2010,1,0
32,2009-2010,2010-01-18,2010-01-23,Northern,RSV,2010,1,19
33,2009-2010,2010-01-18,2010-01-23,Southern,Influenza_A,2010,1,5
34,2009-2010,2010-01-18,2010-01-23,Southern,Influenza_B,2010,1,0
35,2009-2010,2010-01-18,2010-01-23,Southern,RSV,2010,1,36
36,2009-2010,2010-01-25,2010-01-30,Bay Area,Influenza_A,2010,1,5
37,2009-2010,2010-01-25,2010-01-30,Bay Area,Influenza_B,2010,1,0
38,2009-2010,2010-01-25,2010-01-30,Bay Area,RSV,2010,1,246
39,2009-2010,2010-01-25,2010-01-30,Central,Influenza_A,2010,1,3
40,2009-2010,2010-01-25,2010-01-30,Central,Influenza_B,2010,1,1
41,2009-2010,2010-01-25,2010-01-30,Central,RSV,2010,1,107
42,2009-2010,2010-01-25,2010-01-30,Northern,Influenza_A,2010,1,4
43,2009-2010,2010-01-25,2010-01-30,Northern,Influenza_B,2010,1,0
44,2009-2010,2010-01-25,2010-01-30,Northern,RSV,2010,1,37
45,2009-2010,2010-01-25,2010-01-30,Southern,Influenza_A,2010,1,9
46,2009-2010,2010-01-25,2010-01-30,Southern,Influenza_B,2010,1,0
47,2009-2010,2010-01-25,2010-01-30,Southern,RSV,2010,1,69
48,2009-2010,2010-02-01,2010-02-06,Bay Area,Influenza_A,2010,2,4
49,2009-2010,2010-02-01,2010-02-06,Bay Area,Influenza_B,2010,2,0
50,2009-2010,2010-02-01,2010-02-06,Bay Area,RSV,2010,2,274
51,2009-2010,2010-02-01,2010-02-06,Central,Influenza_A,2010,2,10
52,2009-2010,2010-02-01,2010-02-06,Central,Influenza_B,2010,2,0
53,2009-2010,2010-02-01,2010-02-06,Central,RSV,2010,2,149
54,2009-2010,2010-02-01,2010-02-06,Northern,Influenza_A,2010,2,1
55,2009-2010,2010-02-01,2010-02-06,Northern,Influenza_B,2010,2,0
